TERM,CRN,SUBJ,CRS,SEC,ID,CONFID,LEVL,CLASS,COLLEGE,MAJOR1,CONC1,CONC1_2,MINOR1,MINOR1_2,MAJOR2,CONC2,CONC2_2,MINOR2,MINOR2_2
"201740","12561","BIOL","1620","002","10758984","","UG","SO","College of Science","BIOL","","","","","","","","",""
"201740","12561","BIOL","1620","002","10488696","","UG","SR","College of Science","CHEM","BCHE","","","","","","","",""
"201740","12561","BIOL","1620","002","10600233","","UG","SO","College of Science","BIOL","","","","","","","","",""
"201740","12561","BIOL","1620","002","10280368","","UG","JR","College of Science","BIOL","","","","","","","","",""
"201740","12561","BIOL","1620","002","10782831","","UG","SO","College of Science","BIOL","","","","","","","","",""
"201740","12561","BIOL","1620","002","10590549","","UG","SR","College of Science","ESOR","EXSC","","","","","","","",""
"201740","12561","BIOL","1620","002","10694450","","UG","JR","College of Science","BIOL","","","","","","","","",""
"201740","12561","BIOL","1620","002","10641903","","UG","SO","University College","PREP","","","","","","","","",""
"201740","12561","BIOL","1620","002","10794621","","UG","JR","College of Science","BIOL","","","SPAN","","","","","",""
"201740","12561","BIOL","1620","002","10683123","","UG","JR","College of Science","BIOL","","","","","","","","",""
"201740","12561","BIOL","1620","002","10795763","","UG","JR","College of Science","BIOL","","","CHEM","","","","","",""
"201740","12561","BIOL","1620","002","10739580","","UG","JR","University College","PREP","","","","","","","","",""
"201740","12561","BIOL","1620","002","10253380","","UG","SR","Coll Tech and Computing OLD","CSE","","","","","","","","",""
"201740","12561","BIOL","1620","002","10685827","","UG","SO","College of Science","ESOR","EXSC","","RUST","","","","","",""
"201740","12561","BIOL","1620","002","10783035","","UG","SO","Woodbury School of Business","FINA","","","ACCT","","","","","",""
"201740","12561","BIOL","1620","002","10667272","","UG","SO","Woodbury School of Business","FINA","","","","","","","","",""
"201740","12561","BIOL","1620","002","10719313","","UG","JR","College of Science","BIOL","","","","","","","","",""
"201740","12561","BIOL","1620","002","10668417","","UG","SO","College of Science","BIOL","","","","","","","","",""
"201740","12561","BIOL","1620","002","10749661","","UG","SO","Coll Humanities and Social Sci","BESC","SOC","","","","","","","",""
"201740","12561","BIOL","1620","002","10765555","","UG","SR","College of Science","BIOL","","","","","","","","",""
"201740","12561","BIOL","1620","002","10673538","","UG","SO","College of Science","BIOL","","","","","","","","",""
"201740","12561","BIOL","1620","002","10648105","","UG","SR","College of Science","BIOL","","","","","","","","",""
"201740","12561","BIOL","1620","002","10793954","","UG","SO","College of Science","BIOL","","","SPAN","","","","","",""
"201740","12561","BIOL","1620","002","10544209","","UG","JR","College of Science","BIOL","","","","","","","","",""
"201740","12561","BIOL","1620","002","10746626","","UG","JR","College of Science","CHEM","BCHE","","","","","","","",""
"201740","12561","BIOL","1620","002","10734260","","UG","SO","College of Science","CHEM","BCHE","","","","","","","",""
"201740","12561","BIOL","1620","002","10658918","","UG","SO","College of Science","ESOR","EXSC","","","","","","","",""
"201740","12561","BIOL","1620","002","10783237","","UG","JR","University College","UVST","","","","","","","","",""
"201740","12561","BIOL","1620","002","10635924","","UG","JR","College of Science","BIOT","","","CHEM","","","","","",""
"201740","12561","BIOL","1620","002","10776105","","UG","JR","College of Science","BIOL","","","","","","","","",""
"201740","12561","BIOL","1620","002","10623380","","UG","SR","College of Science","CHEM","BCHE","","","","","","","",""
"201740","12561","BIOL","1620","002","10575903","","UG","SR","Other","PI","","","","","","","","",""
"201740","12561","BIOL","1620","002","10778967","","UG","SO","College of Science","BIOL","","","","","","","","",""
"201740","12561","BIOL","1620","002","10800187","","UG","SR","College of Science","CHEM","BCHE","","","","","","","",""
"201740","12561","BIOL","1620","002","10742783","","UG","SR","College of Science","BIOL","","","","","","","","",""
"201740","12561","BIOL","1620","002","10771779","","UG","JR","College of Science","BIOL","","","","","","","","",""
"201740","12561","BIOL","1620","002","10640615","","UG","SO","College of Science","BIOL","","","","","","","","",""
"201740","12561","BIOL","1620","002","10760802","","UG","SO","College of Science","BIOL","","","","","","","","",""
"201740","12561","BIOL","1620","002","10794078","","UG","JR","College of Science","BIOL","","","","","","","","",""
"201740","12561","BIOL","1620","002","10715284","","UG","JR","Coll Humanities and Social Sci","PSY","","","","","","","","",""
"201740","12561","BIOL","1620","002","10760269","","UG","SR","College of Science","BIOL","","","","","","","","",""
"201740","12561","BIOL","1620","002","10781115","","UG","JR","College of Science","BIOL","","","","","","","","",""
"201740","12561","BIOL","1620","002","10819468","","UG","SR","Coll Tech and Computing OLD","SFEG","","","","","","","","",""
"201740","12561","BIOL","1620","002","10722925","","UG","SO","College of Science","BIOL","","","","","","","","",""
"201740","12561","BIOL","1620","002","10574677","","UG","SO","University College","PREP","","","","","","","","",""
"201740","12561","BIOL","1620","002","10723052","","UG","SO","College of Science","CHEM","BCHE","","","","","","","",""
"201740","12561","BIOL","1620","002","10615886","","UG","JR","Coll Humanities and Social Sci","SPAN","","","","","","","","",""
"201740","12561","BIOL","1620","002","10782961","","UG","SR","University College","PREP","","","","","","","","",""
"201740","12561","BIOL","1620","002","10531566","","UG","SR","Coll Humanities and Social Sci","BESC","PSY","","BIOL","","","","","",""
"201740","12561","BIOL","1620","002","10617013","","UG","JR","College of Science","BIOL","","","","","","","","",""
