SIS Login ID,Section,Quiz 1 (3436783),Quiz 2 (3434193),Quiz 3 (3436786),Quiz 4 (3434195),Quiz 5 (3436788),Quiz 6 (3436789),Quiz 7 (3434198),Quiz 8 (3434199),Quiz 9 (3434200),Quiz 10 (3436784),Exam 1 (3436778),Exam 2 (3436779),Exam 3 (3434204),Exam 4 (3434205),YOUR-CHOICE -- Greenhouse Inventory (3434380),YOUR-CHOICE -- Citation Manager (3434395),YOUR-CHOICE -- Critical Book Report(s) (3436794),YOUR-CHOICE -- Mauna Loa Observatory (3436798),YOUR-CHOICE -- Zoo Visit (3434349),YOUR-CHOICE -- Interviews (3436796),YOUR-CHOICE -- Introduction to R (3436797),YOUR-CHOICE -- Final (3580288),YOUR-CHOICE -- Midterm (3580262),Pre-Test (3434152),Post-Test (3608052),Assignments Current Points,Assignments Final Points,Assignments Current Score,Assignments Final Score,Quizzes Current Points,Quizzes Final Points,Quizzes Current Score,Quizzes Final Score,Exams Current Points,Exams Final Points,Exams Current Score,Exams Final Score,Your-Choice Current Points,Your-Choice Final Points,Your-Choice Current Score,Your-Choice Final Score,Pre- Post-Tests Current Points,Pre- Post-Tests Final Points,Pre- Post-Tests Current Score,Pre- Post-Tests Final Score,Current Points,Final Points,Current Score,Final Score
10810721,BIOL-1620-001,8,10,5,6,6,10,2,10,10,10,95,77,77,83,,,110,10,,,30,85,65,50,38,0,0,,,77,77,77,77,332,332,83,83,150,150,150,150,88,88,88,88,647,647,92.43,92.43
10741606,BIOL-1620-001,0,7,6,8,4,10,4,10,10,10,66,56,70,61,10,10,,10,10,,30,30,40,50,42,0,0,,,69,69,69,69,253,253,63.25,63.25,70,70,70,70,92,92,92,92,484,484,69.14,69.14
10344437,BIOL-1620-001,1,7,0,2,4,10,2,10,10,10,58,59,62,67,10,,110,10,10,10,,50,100,50,38,0,0,,,56,56,56,56,246,246,61.5,61.5,150,150,150,150,88,88,88,88,540,540,77.14,77.14
10652952,BIOL-1620-001,2,7,7,6,6,10,2,10,10,10,64,65,65,77,10,,90,10,,10,30,80,70,50,30,0,0,,,70,70,70,70,271,271,67.75,67.75,150,150,150,150,80,80,80,80,571,571,81.57,81.57
10776611,BIOL-1620-001,1,8,3,5,8,10,6,10,10,10,75,77,70,82,10,10,60,10,10,20,30,80,70,50,50,0,0,,,71,71,71,71,304,304,76,76,150,150,150,150,100,100,100,100,625,625,89.29,89.29
10689826,BIOL-1620-001,0,10,8,8,6,0,10,10,10,10,84,77,71,82,10,,110,,10,,30,80,70,50,46,0,0,,,72,72,72,72,314,314,78.5,78.5,150,150,150,150,96,96,96,96,632,632,90.29,90.29
10694491,BIOL-1620-001,4,9,4,2,6,10,6,10,10,10,71,58,65,65,10,,60,,10,30,30,90,50,50,40,0,0,,,71,71,71,71,259,259,64.75,64.75,140,140,140,140,90,90,90,90,560,560,80,80
10795958,BIOL-1620-001,4,0,5,8,6,10,4,10,10,10,69,82,62,80,10,10,80,10,10,30,30,80,70,50,40,0,0,,,67,67,67,67,293,293,73.25,73.25,150,150,150,150,90,90,90,90,600,600,85.71,85.71
10772446,BIOL-1620-001,10,6,2,7,6,10,4,10,10,10,69,75,73,67,10,,80,10,10,20,30,100,50,50,44,0,0,,,75,75,75,75,284,284,71,71,150,150,150,150,94,94,94,94,603,603,86.14,86.14
10831843,BIOL-1620-001,6,10,0,6,0,10,6,10,10,10,90,86,86,84,,,120,,,,,60,60,50,48,0,0,,,68,68,68,68,346,346,86.5,86.5,120,120,120,120,98,98,98,98,632,632,90.29,90.29
10733154,BIOL-1620-001,0,4,0,0,0,10,0,0,0,0,54,39,41,0,,,,,,20,30,0,50,50,0,0,0,,,14,14,14,14,134,134,33.5,33.5,50,50,50,50,50,50,50,50,248,248,35.43,35.43
10625167,BIOL-1620-001,2,8,5,8,6,10,6,10,10,10,89,84,85,72,10,10,60,10,10,10,30,90,50,50,38,0,0,,,75,75,75,75,330,330,82.5,82.5,140,140,140,140,88,88,88,88,633,633,90.43,90.43
10507027,BIOL-1620-001,2,4,0,0,0,0,0,0,0,0,63,0,0,0,,,,,,,,0,0,50,0,0,0,,,6,6,6,6,63,63,15.75,15.75,0,0,0,0,50,50,50,50,119,119,17,17
10780093,BIOL-1620-001,1,4,8,8,6,10,4,10,10,10,68,73,63,66,10,10,30,5,10,,30,50,45,50,28,0,0,,,71,71,71,71,270,270,67.5,67.5,95,95,95,95,78,78,78,78,514,514,73.43,73.43
10656873,BIOL-1620-001,0,2,2,2,0,10,0,0,0,0,21,44,22,40,10,5,,5,10,10,30,35,35,50,20,0,0,,,16,16,16,16,127,127,31.75,31.75,70,70,70,70,70,70,70,70,283,283,40.43,40.43
