TERM,CRN,SUBJ,CRS,SEC,ID,CONFID,LEVL,CLASS,COLLEGE,MAJOR1,CONC1,CONC1_2,MINOR1,MINOR1_2,MAJOR2,CONC2,CONC2_2,MINOR2,MINOR2_2
"201740","29545","BIOL","1620","003","10735804","","UG","JR","College of Science","BIOL","","","","","","","","",""
"201740","29545","BIOL","1620","003","10575405","","UG","JR","University College","PREP","","","","","","","","",""
"201740","29545","BIOL","1620","003","10709700","","UG","SO","College of Science","BIOL","","","","","","","","",""
"201740","29545","BIOL","1620","003","10797078","","UG","SO","College of Science","BIOL","","","","","","","","",""
"201740","29545","BIOL","1620","003","10783687","","UG","SO","College of Science","BIOL","","","","","","","","",""
"201740","29545","BIOL","1620","003","10627514","","UG","JR","College of Science","ESOR","EXSC","","","","","","","",""
"201740","29545","BIOL","1620","003","10808341","","UG","SO","College of Science","BIOL","","","","","","","","",""
"201740","29545","BIOL","1620","003","10835131","","UG","FR","College of Science","BIOL","","","","","","","","",""
"201740","29545","BIOL","1620","003","10772386","","UG","JR","University College","UVST","","","","","","","","",""
"201740","29545","BIOL","1620","003","10777242","","UG","JR","College of Science","BIOL","","","","","","","","",""
"201740","29545","BIOL","1620","003","10735861","","UG","JR","University College","PREP","","","","","","","","",""
"201740","29545","BIOL","1620","003","10831968","","UG","FR","University College","PREP","","","","","","","","",""
"201740","29545","BIOL","1620","003","10624126","","UG","JR","College of Science","BIOL","","","","","","","","",""
"201740","29545","BIOL","1620","003","10795101","","UG","JR","College of Science","BIOL","","","","","UVST","","","",""
"201740","29545","BIOL","1620","003","10627567","","UG","SO","College of Science","BOT","","","","","","","","",""
"201740","29545","BIOL","1620","003","10739479","","UG","SR","Coll Humanities and Social Sci","INST","IBI","IPSY","","","","","","",""
"201740","29545","BIOL","1620","003","10814496","","UG","JR","College of Science","ESOR","EXSC","","","","","","","",""
"201740","29545","BIOL","1620","003","10575801","","UG","SO","University College","UVST","","","","","","","","",""
"201740","29545","BIOL","1620","003","10729622","","UG","SO","University College","UVST","","","","","","","","",""
"201740","29545","BIOL","1620","003","10633911","","UG","JR","College of Science","CHEM","PRCH","","","","","","","",""
"201740","29545","BIOL","1620","003","10535005","","UG","SO","University College","PREP","","","","","","","","",""
"201740","29545","BIOL","1620","003","10788859","","UG","SO","College of Science","BIOL","","","","","","","","",""
"201740","29545","BIOL","1620","003","10788638","","UG","SR","College of Science","BIOL","","","","","","","","",""
"201740","29545","BIOL","1620","003","10753922","","UG","SO","College of Science","BIOL","","","","","","","","",""
"201740","29545","BIOL","1620","003","10773663","","UG","SO","University College","PREP","","","","","","","","",""
"201740","29545","BIOL","1620","003","10799479","","UG","SO","Coll Tech and Computing OLD","SFEG","","","","","","","","",""
"201740","29545","BIOL","1620","003","10740874","","UG","JR","College of Science","BIOL","","","","","","","","",""
"201740","29545","BIOL","1620","003","10783646","","UG","SO","College of Science","BIED","","","","","","","","",""
"201740","29545","BIOL","1620","003","10783179","","UG","JR","College of Science","ESOR","EXSC","","","","","","","",""
"201740","29545","BIOL","1620","003","10653492","","UG","JR","Coll Health and Public Service","COHE","CHED","","","","","","","",""
"201740","29545","BIOL","1620","003","10605022","","UG","SR","Coll Humanities and Social Sci","ENGL","CW","","","","","","","",""
"201740","29545","BIOL","1620","003","10816265","","UG","JR","College of Science","BIOL","","","","","","","","",""
"201740","29545","BIOL","1620","003","10820583","","UG","SR","College of Science","BIOL","","","","","","","","",""
"201740","29545","BIOL","1620","003","10762718","","UG","JR","College of Science","ESOR","EXSC","","","","","","","",""
"201740","29545","BIOL","1620","003","10673494","","UG","JR","College of Science","BIOL","","","PSY","","","","","",""
"201740","29545","BIOL","1620","003","10555480","","UG","SR","Other","NDSK","","","","","","","","",""
"201740","29545","BIOL","1620","003","10651493","","UG","JR","Coll Humanities and Social Sci","PSY","","","","","","","","",""
"201740","29545","BIOL","1620","003","10685252","","UG","JR","College of Science","BIOL","","","SPAN","","","","","",""
"201740","29545","BIOL","1620","003","10810210","","UG","SR","College of Science","BIOL","","","","","","","","",""
"201740","29545","BIOL","1620","003","10219467","","UG","SR","College of Science","BIOL","","","","","","","","",""
